Unnamed: 0,De,Até,Custas
,0.01,1657,187.08
,1657.01,4140,300.19
,4140.01,6901,538.55
,6901.01,13805,799.05
,13805.01,27610,971.46
,27610.01,82830,1083.39
,82830.01,138050,1382.77
,138050.01,165660,1681.56
,165660.01,193270,1731.98
,193270.01,220880,1980.62
,220880.01,261810,2200.43
,261810.01,290900,2257.78
,290900.01,581800,2517.43
,552200.01,828300,3430.0
,828300.01,1104400,3220.57
,1104400.01,1380500,3643.72
,1380500.01,1656600,3862.49
,1656600.01,2761000,4956.27
,2761000.01,4141500,6925.03
,4141500.01,5522000,9112.57
,5522000.01,6902500,11300.11
,6902500.01,8283000,13487.64
,8283000.01,9663500,15675.19
,9663500.01,11044000,17862.74
,11044000.01,12424500,20050.28
,12424500.01,13805000,22237.82
,13805000.01,16566000,25519.11
,16566000.01,19327000,29894.2
,19327000.01,22088000,34269.28
,22088000.01,24849000,38644.36
,24849000.01,27610000,43019.46
,27610000.01,30371000,47394.54
,30371000.01,33132000,51769.61
,33132000.01,35893000,56144.69
,35893000.01,38654000,60519.79
,38654000.01,41415000,64894.87
,41415000.01,46937000,71457.47
,46937000.01,52459000,80207.63
,52459000.01,57981000,88957.8
,57981000.01,63503000,97707.95
,63503000.01,69025000,106458.12
,69025000.01,74547000,115208.28
,74547000.01,80069000,123958.44
,80069000.01,85591000,132708.6
,85591000.01,91113000,141458.77
,91113000.01,96635000,150208.93
,96635000.01,102157000,158959.07
,102157000.01,999999999,168218.94
